department,salary,Allowance
Support,39670.00,3967.00
Support,34554.00,3455.40
Finance,90323.00,9032.30
Operations,77809.00,7780.90
Finance,59644.00,5964.40
Marketing,89678.00,17935.60
Sales,28352.00,2835.20
Marketing,20617.00,4123.40
Sales,31618.00,3161.80
Marketing,46949.00,9389.80
Marketing,69435.00,13887.00
HR,57287.00,8593.05
Support,115521.00,11552.10
Support,45877.00,4587.70
HR,52847.00,7927.05
IT,40352.00,4035.20
Support,96940.00,9694.00
Finance,107671.00,10767.10
Marketing,118708.00,23741.60
Marketing,33574.00,6714.80
HR,88361.00,13254.15
HR,89098.00,13364.70
HR,21021.00,3153.15
HR,107996.00,16199.40
Finance,32085.00,3208.50
Finance,105584.00,10558.40
Marketing,90649.00,18129.80
Operations,24003.00,2400.30
IT,114932.00,11493.20
HR,37586.00,5637.90
Marketing,47396.00,9479.20
Marketing,93960.00,18792.00
Support,114470.00,11447.00
Marketing,76966.00,15393.20
Operations,57534.00,5753.40
HR,76241.00,11436.15
Support,105614.00,10561.40
Sales,64341.00,6434.10
Support,46649.00,4664.90
Sales,64586.00,6458.60
IT,27183.00,2718.30
Operations,52539.00,5253.90
Marketing,40216.00,8043.20
Support,39567.00,3956.70
HR,50900.00,7635.00
HR,90015.00,13502.25
Finance,48974.00,4897.40
HR,76957.00,11543.55
HR,75855.00,11378.25
IT,70924.00,7092.40
Sales,41704.00,4170.40
Operations,56738.00,5673.80
Marketing,42340.00,8468.00
Sales,103724.00,10372.40
Marketing,64824.00,12964.80
Operations,79749.00,7974.90
Finance,66684.00,6668.40
Sales,88289.00,8828.90
Marketing,103183.00,20636.60
HR,37623.00,5643.45
Sales,102952.00,10295.20
Support,111593.00,11159.30
Marketing,97348.00,19469.60
Operations,59458.00,5945.80
Sales,53577.00,5357.70
Sales,110201.00,11020.10
IT,87226.00,8722.60
Sales,102407.00,10240.70
HR,70284.00,10542.60
Support,55470.00,5547.00
Marketing,112903.00,22580.60
Operations,65402.00,6540.20
HR,94777.00,14216.55
IT,90388.00,9038.80
Marketing,57627.00,11525.40
Support,111823.00,11182.30
Support,69475.00,6947.50
Finance,102989.00,10298.90
HR,104411.00,15661.65
IT,40973.00,4097.30
IT,63302.00,6330.20
Marketing,62057.00,12411.40
Operations,104004.00,10400.40
HR,42190.00,6328.50
Marketing,103867.00,20773.40
Sales,30459.00,3045.90
Marketing,68080.00,13616.00
Marketing,104127.00,20825.40
Marketing,58336.00,11667.20
Sales,63282.00,6328.20
Operations,53865.00,5386.50
Sales,49341.00,4934.10
Operations,95086.00,9508.60
Operations,110022.00,11002.20
Support,99974.00,9997.40
Operations,48126.00,4812.60
IT,73280.00,7328.00
Sales,35340.00,3534.00
Sales,90133.00,9013.30
Marketing,104729.00,20945.80
Marketing,28398.00,5679.60
Marketing,96747.00,19349.40
Operations,82851.00,8285.10
Sales,97456.00,9745.60
Finance,27015.00,2701.50
Operations,76116.00,7611.60
Marketing,103057.00,20611.40
IT,41080.00,4108.00
Sales,25026.00,2502.60
Operations,94794.00,9479.40
Finance,100888.00,10088.80
Operations,23755.00,2375.50
Marketing,111110.00,22222.00
Finance,88994.00,8899.40
Sales,63976.00,6397.60
Finance,113432.00,11343.20
IT,86040.00,8604.00
Support,52623.00,5262.30
HR,75378.00,11306.70
Sales,105340.00,10534.00
Operations,79658.00,7965.80
Operations,42883.00,4288.30
HR,91834.00,13775.10
Finance,87432.00,8743.20
Operations,27809.00,2780.90
Finance,97061.00,9706.10
Finance,110939.00,11093.90
Support,74849.00,7484.90
Support,79660.00,7966.00
Marketing,68582.00,13716.40
Sales,53956.00,5395.60
Operations,75492.00,7549.20
IT,40915.00,4091.50
Support,39927.00,3992.70
Sales,59810.00,5981.00
Marketing,110610.00,22122.00
Sales,79026.00,7902.60
Sales,37210.00,3721.00
HR,20507.00,3076.05
Support,97174.00,9717.40
Operations,22669.00,2266.90
Operations,32375.00,3237.50
HR,114579.00,17186.85
Support,26355.00,2635.50
Finance,107655.00,10765.50
Operations,28740.00,2874.00
Marketing,114684.00,22936.80
IT,64037.00,6403.70
Support,84644.00,8464.40
Sales,106032.00,10603.20
Finance,51173.00,5117.30
Finance,63014.00,6301.40
Sales,77590.00,7759.00
Sales,57040.00,5704.00
Marketing,91568.00,18313.60
HR,101083.00,15162.45
Operations,20814.00,2081.40
Support,56858.00,5685.80
Support,103027.00,10302.70
Finance,49651.00,4965.10
Support,104828.00,10482.80
Support,28033.00,2803.30
Sales,79309.00,7930.90
Support,92615.00,9261.50
IT,106223.00,10622.30
Finance,27911.00,2791.10
Sales,44801.00,4480.10
Operations,32755.00,3275.50
Operations,33817.00,3381.70
Support,88862.00,8886.20
Support,35961.00,3596.10
IT,66806.00,6680.60
Support,45124.00,4512.40
Marketing,96100.00,19220.00
Finance,39779.00,3977.90
Operations,111873.00,11187.30
Operations,38728.00,3872.80
Sales,102078.00,10207.80
IT,35250.00,3525.00
Support,83255.00,8325.50
Finance,43846.00,4384.60
Operations,57301.00,5730.10
Finance,100820.00,10082.00
Marketing,25245.00,5049.00
HR,46751.00,7012.65
IT,22992.00,2299.20
IT,50030.00,5003.00
IT,118066.00,11806.60
Finance,106743.00,10674.30
Marketing,68937.00,13787.40
Finance,30482.00,3048.20
Marketing,45730.00,9146.00
Operations,37534.00,3753.40
Marketing,29672.00,5934.40
Support,83282.00,8328.20
HR,43474.00,6521.10
Support,46055.00,4605.50
Marketing,43082.00,8616.40
HR,34368.00,5155.20
Finance,85743.00,8574.30
